  42   42  23 2 0 1-2-1-1 0 0 0 2 .00014 .00016 .00016      .00016 .000153  .000000 .000160
  43   43   0 3 0 1-2 0-1 0 0 0-1 .00000 .00000 .00000      .00000 .000013  .000000 .000012
  44   44  24 3 0 1-2 0 0 0 0 0 1 .00005 .00005 .00005      .00000 .000053  .000000 .000054
  45   45  25 2 0 1-2 1-1 0 0 0 2 .00113 .00113 .00113      .00113 .001133 -.000001 .001130
  46   46  26 2 0 1-2 1 0 0 0 0 0 .01579 .01579 .01579 MSM  .01578 .015791  .000005 .015790
  47   47  27 2 0 1-2 1 1 0 0 0 2 .00103 .00103 .00103      .00103 .001025 -.000001 .001030
  48   48   0 2 0 1-2 1 2 0 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000 .000000
  49   49   0 3 0 1-2 2 0 0 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000 .000000
  50   50   0 2 0 1-1-1-1 1 0 0 2 .00000 .00000 .00000      .00000 .000046  .000000 .000040
  51   51  28 2 0 1-1-1 0 1 0 0 0 .00052 .00052 .00052      .00051 .000507  .000000 .000510
  52   52   0 2 0 1-1-1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000027  .000000 .000000
  53   53   0 2 0 1-1 0-1 0 0 0 0 .00000 .00000 .00000      .00000 .000033  .000000 .000000
  54   54  29 2 0 1-1 0 0 0 0 0 2 .00047 .00047 .00047      .00044 .000458  .000001 .000440
  55   55   0 3 0 1-1 0 0 1 0 0-1 .00000 .00000 .00000      .00000 .000006  .000000 .000000
  56   56   0 2 0 1-1 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000032  .000000 .000000
  57   57  30 2 0 1-1 1 0-1 0 0 2 .00012 .00012 .00012      .00010 .000109  .000000 .000110
  58   58   0 3 0 1 0-2 0 0 0 0 1 .00000 .00000 .00000      .00000 .000019  .000000 .000018
  59   59  31 2 0 1 0-1-2 0 0 0 0 .00007 .00007 .00007      .00000 .000068  .000000 .000070
  60   60  32 2 0 1 0-1-1 0 0 0 2 .00542 .00542 .00542      .00542 .005419 -.000003 .005420
  61   61   0 4 0 1 0-1-1 0 0 0 2 .00000 .00000 .00000      .00000 .000004  .000000 .000000
  62   62  33 2 0 1 0-1 0 0 0 0 0 .08254 .08256 .08256 MM   .08254 .082569  .000027 .082560
  63   63   0 4 0 1 0-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000012  .000000 .000000
  64   64  34 2 0 1 0-1 1 0 0 0 2 .00535 .00535 .00537      .00535 .005358 -.000007 .005360
  65   65   0 4 0 1 0-1 1 0 0 0 2 .00000 .00000 .00000      .00000 .000004  .000000 .000000
